,date,ticket_type,weather,special_exhibition,visitor_count,weekday
0,2026-04-01,Senior,Cloudy,Science,269,Wednesday
1,2026-05-07,Child,Cloudy,Art,317,Thursday
2,2026-04-15,Student,Cloudy,Art,351,Wednesday
3,2026-03-24,Child,Rainy,Art,243,Tuesday
4,2026-04-03,Senior,Rainy,Science,279,Friday
5,2026-07-26,Student,Rainy,Art,473,Sunday
6,2026-07-26,Adult,Rainy,Art,308,Sunday
7,2026-03-22,Student,Cloudy,History,324,Sunday
8,2026-01-30,Adult,Rainy,Science,338,Friday
9,2026-04-07,Student,Cloudy,History,386,Tuesday
10,2026-03-08,Student,Cloudy,History,293,Sunday
11,2026-04-10,Child,Rainy,Science,160,Friday
12,2026-06-25,Adult,Cloudy,Science,298,Thursday
13,2026-01-26,Senior,Rainy,Art,197,Monday
14,2026-02-11,Senior,Rainy,Art,122,Wednesday
15,2026-06-19,Student,Sunny,Art,300,Friday
16,2026-02-21,Adult,Sunny,Art,440,Saturday
17,2026-04-16,Child,Cloudy,History,358,Thursday
18,2026-07-02,Adult,Rainy,History,250,Thursday
19,2026-01-10,Child,Rainy,History,410,Saturday
20,2026-03-12,Student,Cloudy,Science,306,Thursday
21,2026-02-07,Senior,Cloudy,Science,418,Saturday
22,2026-05-28,Child,Rainy,History,292,Thursday
23,2026-07-25,Senior,Cloudy,Science,377,Saturday
24,2026-02-19,Senior,Rainy,Art,200,Thursday
25,2026-01-04,Student,Cloudy,History,395,Sunday
26,2026-02-24,Student,Rainy,History,248,Tuesday
27,2026-05-04,Student,Sunny,Art,331,Monday
28,2026-07-12,Senior,Rainy,History,333,Sunday
29,2026-06-20,Senior,Rainy,Art,182,Saturday
30,2026-02-15,Child,Rainy,History,320,Sunday
31,2026-03-09,Senior,Rainy,Science,296,Monday
32,2026-05-01,Child,Rainy,Art,192,Friday
33,2026-04-24,Senior,Sunny,Science,280,Friday
34,2026-06-18,Adult,Sunny,History,365,Thursday
35,2026-07-02,Senior,Cloudy,Art,330,Thursday
36,2026-04-26,Student,Rainy,Science,328,Sunday
37,2026-04-02,Student,Cloudy,Art,311,Thursday
38,2026-05-05,Senior,Sunny,Art,298,Tuesday
39,2026-03-13,Student,Sunny,Science,285,Friday
40,2026-04-13,Child,Rainy,History,303,Monday
41,2026-07-07,Student,Sunny,Art,351,Tuesday
42,2026-03-07,Adult,Rainy,History,313,Saturday
43,2026-02-19,Adult,Cloudy,Science,294,Thursday
44,2026-01-21,Student,Sunny,Science,388,Wednesday
45,2026-05-31,Senior,Rainy,History,379,Sunday
46,2026-03-23,Adult,Cloudy,Art,232,Monday
47,2026-05-11,Adult,Sunny,Art,368,Monday
48,2026-02-13,Senior,Cloudy,Science,273,Friday
49,2026-07-14,Child,Sunny,Art,404,Tuesday
50,2026-06-02,Student,Sunny,Art,302,Tuesday
51,2026-03-30,Senior,Cloudy,Science,261,Monday
52,2026-02-21,Child,Sunny,Art,399,Saturday
53,2026-05-06,Senior,Cloudy,Science,314,Wednesday
54,2026-07-16,Student,Sunny,History,265,Thursday
55,2026-07-02,Adult,Rainy,Art,268,Thursday
56,2026-03-03,Senior,Sunny,Art,284,Tuesday
57,2026-07-14,Child,,Art,305,Tuesday
58,2026-01-07,Senior,Rainy,Science,215,Wednesday
59,2026-05-01,Child,Rainy,History,314,Friday
60,2026-04-12,Adult,Cloudy,History,451,Sunday
61,2026-06-24,Senior,Cloudy,Art,190,Wednesday
62,2026-04-24,Child,Rainy,Art,221,Friday
63,2026-02-12,Student,Rainy,History,358,Thursday
64,2026-01-21,Child,Rainy,History,232,Wednesday
65,2026-07-11,Child,Sunny,Art,399,Saturday
66,2026-07-03,Student,Sunny,History,417,Friday
67,2026-06-26,Student,Sunny,Art,332,Friday
68,2026-03-18,Senior,Cloudy,Science,269,Wednesday
69,2026-06-01,Student,Cloudy,Art,284,Monday
70,2026-06-25,Adult,Cloudy,Art,266,Thursday
71,2026-06-25,Child,Cloudy,History,393,Thursday
72,2026-06-18,Child,Rainy,Art,112,Thursday
73,2026-05-20,Senior,Sunny,Art,350,Wednesday
74,2026-01-04,Student,Sunny,Art,434,Sunday
75,2026-04-04,Senior,Cloudy,Art,431,Saturday
76,2026-07-19,Child,Cloudy,Art,447,Sunday
77,2026-07-04,Student,Sunny,Science,398,Saturday
78,2026-02-23,Student,Sunny,Art,356,Monday
79,2026-02-19,Senior,,History,254,Thursday
80,2026-02-19,Adult,Sunny,History,331,Thursday
81,2026-04-13,Child,Cloudy,Art,218,Monday
82,2026-05-23,Adult,Cloudy,Art,299,Saturday
83,2026-03-06,Child,Sunny,Art,419,Friday
84,2026-04-23,Adult,Sunny,History,240,Thursday
85,2026-03-29,Senior,Cloudy,Art,391,Sunday
86,2026-01-01,Child,Rainy,History,242,Thursday
87,2026-02-21,Child,Cloudy,Art,343,Saturday
88,2026-06-18,Adult,Sunny,Science,351,Thursday
89,2026-07-02,Senior,Cloudy,Art,212,Thursday
90,2026-02-25,Student,Sunny,Science,424,Wednesday
91,2026-01-04,Adult,Rainy,Art,351,Sunday
92,2026-03-19,Child,Sunny,Art,341,Thursday
93,2026-07-09,Child,Sunny,History,336,Thursday
94,2026-07-30,Child,Cloudy,Art,292,Thursday
95,2026-07-16,Senior,Sunny,Science,353,Thursday
96,2026-06-06,Adult,Cloudy,Art,294,Saturday
97,2026-05-03,Child,Rainy,Science,264,Sunday
98,2026-07-02,Senior,Rainy,History,303,Thursday
99,2026-01-24,Student,Cloudy,Art,359,Saturday
100,2026-02-15,Adult,Cloudy,History,299,Sunday
101,2026-04-06,Student,Cloudy,Science,330,Monday
102,2026-02-19,Senior,Sunny,Science,328,Thursday
103,2026-07-19,Student,Rainy,Art,231,Sunday
104,2026-07-30,Student,Rainy,Art,131,Thursday
105,2026-04-23,Senior,Rainy,Science,273,Thursday
106,2026-01-21,Adult,Sunny,History,334,Wednesday
107,2026-01-21,Adult,Rainy,History,328,Wednesday
108,2026-03-13,Child,Cloudy,Art,298,Friday
109,2026-02-26,Child,Sunny,Science,244,Thursday
110,2026-03-18,Senior,Sunny,Art,331,Wednesday
111,2026-01-04,Child,Rainy,Science,310,Sunday
112,2026-05-23,Senior,Rainy,Art,251,Saturday
113,2026-07-19,Adult,Rainy,History,265,Sunday
114,2026-02-28,Child,Sunny,Art,331,Saturday
115,2026-04-09,Student,Rainy,Science,170,Thursday
116,2026-02-06,Student,Sunny,Art,258,Friday
117,2026-04-16,Student,Cloudy,History,271,Thursday
118,2026-03-12,Adult,Sunny,Art,380,Thursday
119,2026-07-26,,Sunny,Art,315,Sunday
120,2026-02-07,Senior,Cloudy,Science,418,Saturday
